ID_Complemento,Title,ID_NumRevista,ID_Autor
P001,Sombreros de Alexandrine,3
P002,Sombreros d'Alexandrine,4
P003,Sombreros De Alexandrine,5
P004,Sombreros De Alexandrine,7
P005,Sombreros d'Alexandrine,9
P006,Sombreros d'Alexandrine,10
P007,Sombreros d'Alexandrine,11
P008,"""En la perfumería de Planchais [...]""",11
P009,"""Recomendamos a nuestros lectores los pianos [...]""",11
P010,"""Casa de comisión para París [...]""",11
P011,"""Las enfermedades del pecho [...]""",11
P012,"""Prevenimos a nuestros lectores [...]""",12
P013,Sombreros d'Alexandrine y Corsets Plastiques Mme. Bonvallet,12
P014,"""Se alquila una lindísima habitación [...]""",12
P015,Casas recomendadas y artículos en voga,13
P016,"Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",13
P017,Casas recomendadas,14
P018,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",14
P019,Lait antephelique. Pecas y manchas de la cara,14
P020,"Camisas Claudio, Hermanos",14
P021,Tintura inglesa instantánea,14
P022,Casa particular de Huéspedes,14
P023,Casa Delacroix,14
P024,"Jules Bloch, dentista",14
P025,La Gaceta de Bellas Artes,15
P026,Pecas y manchas de la cara,15
P027,Casas recomendadas,15
P028,Porta-monedas Despierres,15
P029,Tarifs des insertions,15
P030,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",15
P031,"Camisas Claudio, Hermanos",15
P032,Nueva Geografía Sangansan,15
P033,Casa particular de Huéspedes,15
P034,Casa Delacroix,15
P035,"Jules Bloch, dentista",15
P036,Platería Cristofle,15
P037,Casas recomendadas,16
P038,Tarifs des insertions,16
P039,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",16
P040,"Camisas Claudio, Hermanos",16
P041,Nueva Geografía Sangansan,16
P042,Casa particular de Huéspedes,16
P043,Casa Delacroix,16
P044,"Jules Bloch, dentista",16
P045,Platería Cristofle,16
P046,Casas recomendadas,17
P047,Tarifs des insertions,17
P048,"Camisas Claudio, Hermanos",17
P049,Nueva Geografía Sangansan,17
P050,Casa particular de Huéspedes,17
P051,Casa Delacroix,17
P052,"Jules Bloch, dentista",17
P053,Platería Cristofle,17
P054,Casas recomendadas,18
P055,Tarifs des insertions,18
P056,"Camisas Claudio, Hermanos",18
P057,Nueva Geografía Sangansan,18
P058,Casa particular de Huéspedes,18
P059,Casa Delacroix,18
P060,"Jules Bloch, dentista",18
P061,Platería Cristofle,18
P062,Casas recomendadas,19
P063,Platería Cristofle,19
P064,"Camisas Claudio, Hermanos",19
P065,Nueva Geografía Sangansan,19
P066,Casa particular de Huéspedes,19
P067,Casa Delacroix,19
P068,"Jules Bloch, dentista",19
P069,Casas recomendadas,20
P070,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",20
P071,"Camisas Claudio, Hermanos",20
P072,Nueva Geografía Sangansan,20
P073,Casa particular de Huéspedes,20
P074,Casa Delacroix,20
P075,"Jules Bloch, dentista",20
P076,Platería Cristofle,20
P079,"Camisas Claudio, Hermanos",21
P080,Nueva Geografía Sangansan,21
P081,Casa particular de Huéspedes,21
P082,Casa Delacroix,21
P083,"Jules Bloch, dentista",21
P084,Platería Cristofle,21
P085,Casas recomendadas,22
P086,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",22
P087,"Camisas Claudio, Hermanos",22
P088,Nueva Geografía Sangansan,22
P089,Casa particular de Huéspedes,22
P090,Casa Delacroix,22
P091,"Jules Bloch, dentista",22
P092,Platería Cristofle,22
P093,"Cintas y pasamanerías de la fábrica Sorré Dehsle, Corsets plastiques de Bonvallet, Guantes, abanicos y parfumes de Faguer Labollée, Joyas de cabellos Lemnnier, Porcelaines et Cristaux Maison de l'Escalier de Cristal",23
P094,Platería Cristofle,23
P096,Obras de la señora doña Emilia Serrano de Wilson,25
P097,Platería Cristofle,25
P098,Obras de la señora doña Emilia Serrano de Wilson,26
P099,Platería Cristofle,26
P100,Obras de la señora doña Emilia Serrano de Wilson,27
P101,Modes de Paris. Petit Courrier des Dames,28
P102,El Eco Hispano-Americano,28
P103,Obras de la señora doña Emilia Serrano de Wilson,29
P104,El Eco Hispano-Americano,29
P105,Anuncio,40
P106,Obras de la señora doña Emilia Serrano de Wilson,42
C001,,1
C002,,2
C003,Explicación de la lámina de tapicería,4
C004,Explicación de la lámina de tapicería,5
C005,Explicación del figurín,8
C006,Moda de Caballeros,10
C007,,17
C008,,19
C009,Explicación del figurín 1º,26
C010,Explicación del figurín 2º,26
C011,,26
C012,Descripción del figurín: primer y segundo traje,27
C013,Descripción del figurín: traje de la novia y de la madre,27
C014,,28
C015,Explicación del figurín,29
C016,,29
C017,,30
C018,,31
C019,Descripción del figurín de baile,32
C020,Figurín de visita,32
C021,Explicación del figurín,33
C022,,34
C023,Explicación del figurín,34
C024,Explicación del figurín,35
C025,Explicación del figurín,36
C026,Explicación del figurín,37
C027,,38
C028,,39
C029,Explicación del figurín,40
C030,Explicación de los figurines. Primero,41
C031,Explicación de los figurines. Segundo,41
